model,trial,lr,weight_decay,batch_size,optimizer,loss_func,best_dice_mean,best_dice_rv,best_dice_myo,best_dice_lv
UNet,0,0.0035311169138214,0.0001,8,Adam,DiceLoss,0.6953368550598044,0.5534813917383515,0.7129743996899105,0.8195547737511508
UNet,3,0.0007957412573105,0.0001,8,Adam,DiceLoss,0.7905912590552302,0.7124508198350668,0.8104994448263254,0.8755935908108949
UNet,6,0.0045212897915896,1e-05,8,Adam,DiceLoss,0.663829812390733,0.5200060517059162,0.7057272311553214,0.8154489839949259
UNet,9,0.0001223510023365,0.0001,4,AdamW,DiceLoss,0.8040583960375969,0.7362087198395709,0.8118151351578834,0.8753435404971242
UNet,12,0.0001819043189672,0.0001,8,Adam,CE,0.8286675915991101,0.7845355859220339,0.821851115728834,0.8823680321325609
AttentionUNet,0,0.0040693843916689,0.001,8,AdamW,CE,0.8354811176561704,0.7880108088275285,0.8317166497161732,0.8956789378114421
AttentionUNet,3,0.0025723541334066,1e-05,16,AdamW,CE,0.8860213677440069,0.87557768452484,0.8671838451275783,0.9348381209162484
AttentionUNet,6,0.0033884237321586,0.0001,8,AdamW,DiceLoss,0.6883240096566302,0.5587617429482996,0.7809616832887355,0.8498792247985726
AttentionUNet,9,0.0050910357477576,0.0,4,AdamW,CE,0.8232547816896275,0.7721666230577721,0.8275115801186501,0.8900030199319694
AttentionUNet,12,0.0006497910464896,1e-05,16,Adam,CE,0.8770607975380259,0.8576368547118871,0.8613713119937255,0.922868168987004
TransUNet,0,0.0002016620628719,1e-05,16,Adam,CE,0.8956733597415035,0.8858567223084711,0.8766170908919478,0.9395053144049856
TransUNet,3,0.0083906446559998,1e-05,16,Adam,DiceLoss,0.5398834932342743,0.2202422274727337,0.74722679526405,0.8724236844387729
TransUNet,6,0.0001558769589083,1e-05,16,Adam,CE,0.8918740037268242,0.8845664753323108,0.8747266800002714,0.9375490751941647
TransUNet,9,0.002747425418417,0.0001,8,Adam,DiceLoss,0.7682701784603468,0.6718487092806026,0.7705707628446729,0.865317238560274
TransUNet,12,0.0004567961392318,0.0001,4,AdamW,CE,0.7740984135068105,0.6856316162445983,0.7795198623282023,0.8571437619476309
UNet,2,0.0033287363915578,0.0001,16,AdamW,CE,0.8947397795750328,0.880384324398716,0.8696825979030238,0.9345176984778548
UNet,5,0.0002847589897922,0.0,8,AdamW,CE,0.8375796225425085,0.7952390046973612,0.8367296202480793,0.9012286043047306
UNet,8,0.0036038523876847,0.001,4,Adam,CE,0.4426923711970007,0.2738045782953465,0.5079966060994222,0.5827547717102183
UNet,11,0.0005507054976993,0.0,8,AdamW,CE,0.8345949696334021,0.8055105317722667,0.8289770377216055,0.8926117799090381
UNet,14,0.0025149549152136,0.0,4,AdamW,DiceLoss,0.56506226320121,0.4807227741215361,0.739405420292575,0.8348125021052211
AttentionUNet,2,0.0001034485813952,0.001,16,AdamW,DiceLoss,0.879605063998242,0.8514620630087051,0.8753225370845964,0.9245210147536962
AttentionUNet,5,0.0021717304645704,0.0001,8,AdamW,DiceLoss,0.7396379682720964,0.6592101091660824,0.736239041343992,0.8320669550813881
AttentionUNet,8,0.0007471964132012,0.001,4,Adam,CE,0.6827138081785865,0.5270425074089032,0.731640507508615,0.8028386966965069
AttentionUNet,11,0.0013003621044997,0.0001,16,AdamW,DiceLoss,0.8449181347404081,0.7865968974620368,0.8380166294827925,0.9101408772763953
AttentionUNet,14,0.0008389855104787,0.0001,4,AdamW,DiceLoss,0.6444880995856676,0.5477415516384339,0.7343139986798262,0.8364707494427444
TransUNet,2,0.0005292065625346,0.001,4,Adam,CE,0.7270117639608751,0.6675792865497622,0.7008375010962756,0.8202167129554687
TransUNet,5,0.0027150659192692,0.001,8,AdamW,CE,0.8479661697919388,0.8000250140156009,0.8450848296284675,0.898788665731748
TransUNet,8,0.00022570727936,1e-05,16,Adam,DiceLoss,0.8792193315725411,0.8478742753509927,0.8716607732055461,0.9250923785488162
TransUNet,11,0.0006786014828968,0.001,4,Adam,CE,0.7022258147930002,0.6310501161861581,0.684507750189425,0.798607343551926
TransUNet,14,0.0014525205298476,1e-05,8,AdamW,DiceLoss,0.6944802595176967,0.6072924261447042,0.6933399888105912,0.7999958050455532
UNet,1,0.002481624443014984,0.0,4,AdamW,DiceLoss,0.26008040220197987,0.16731779258064527,0.332427074340961,0.39712794417868214
UNet,4,0.0019396806804067653,1e-05,16,AdamW,CE,0.8902505980832035,0.8792219990122635,0.8682242758506167,0.9268309927619665
UNet,7,0.0005117430300313629,0.0,16,Adam,DiceLoss,0.8731020434064499,0.8395877939409915,0.868572826406597,0.923165156777981
UNet,10,0.003086912446280763,1e-05,16,Adam,CE,0.8727437830955932,0.859395576261841,0.8444457697657357,0.9260684462775172
UNet,13,0.002185888420054086,0.001,8,Adam,DiceLoss,0.6747332896481909,0.48410091416175977,0.7253930651248225,0.8165103105791643
AttentionUNet,1,0.0023173466689007474,0.0001,4,AdamW,CE,0.8293815228909424,0.784665792517914,0.8268169423756309,0.8895386041893113
AttentionUNet,4,0.001372405316892762,0.0,4,Adam,CE,0.8246642950352879,0.785371906303279,0.8206155538652677,0.8853770696467931
AttentionUNet,7,0.0013134523488159875,0.001,4,AdamW,CE,0.8281132440444953,0.7795821200364951,0.8198743565688058,0.8926284190713395
AttentionUNet,10,0.0003653993614279478,0.001,4,Adam,DiceLoss,0.7673559729773078,0.6813384435293864,0.7741539647046011,0.8476096571211317
AttentionUNet,13,0.00011102586009934694,0.0,4,AdamW,DiceLoss,0.7913954648737361,0.7159215137116587,0.7990245378977004,0.8685707805962577
TransUNet,1,0.0005781525589329859,0.0,4,AdamW,DiceLoss,0.6230565983796424,0.5346678547783051,0.6112572785151692,0.7332276518984585
TransUNet,4,0.00034020439741603214,0.001,16,Adam,DiceLoss,0.8696246017045327,0.8380437008047525,0.8515321960491417,0.9250180230731457
TransUNet,7,0.0002539374356348186,0.0001,4,AdamW,DiceLoss,0.7715593808414479,0.6931146648034309,0.7687158944569878,0.8528475832639251
TransUNet,10,0.0014729769059841423,0.0,8,AdamW,CE,0.8140158427135308,0.7591964634730644,0.8071127238091577,0.8757383408583701
TransUNet,13,0.0014972321507813289,0.001,4,Adam,DiceLoss,0.6864338725630951,0.561524179661588,0.6911095815747104,0.8066678564529866
